,Client_Name,Client_Description,Revenue,Expenses,Total_Assets,Total_Liabilities,Operating_Cash_Flow,Investments,Debt,Industry,Profit,Equity
0,Quantum Systems,Operations in retail,211193.55,1101594.02,4335149.1,1859964.43,794019.9,1605060.44,1973249.54,Healthcare,-890400.47,2475184.67
1,Future Group,Operations in finance,1409138.24,1706054.21,3065987.34,3051435.56,1580695.66,320735.51,1479129.07,Healthcare,-296915.97,14551.779999999795
2,Green Group,Operations in technology,1565942.17,2050874.25,4472324.11,4249891.27,740335.51,660598.74,2832553.67,Retail,-484932.0800000001,222432.84000000078
3,Dynamic Motors,Operations in finance,4072945.71,2451948.79,7311059.538,934413.24,1260431.19,2448670.42,3499959.58,Finance,1620996.92,6376646.2979999995
4,Dynamic Motors,Operations in retail,1951368.1619999998,2300823.95,1337366.2,2378513.94,695055.49,939971.85,2916427.9659999995,Finance,-349455.7880000004,-1041147.74
5,Global Technologies,Operations in finance,3040219.42,806190.42,5293424.56,1386381.642,808607.87,2681617.58,885019.42,Finance,2234029.0,3907042.9179999996
6,Dynamic International,Operations in technology,2381165.58,1241552.9420000003,4770504.28,1141886.89,1635500.25,1458119.26,3989677.98,Technology,1139612.6379999998,3628617.3900000006
7,Dynamic Group,Operations in retail,296743.78,1488066.13,5291226.77,3356200.35,1816920.26,1999749.88,832704.35,Technology,-1191322.3499999999,1935026.4199999995
8,Green Logistics,Operations in finance,1064115.18,1982023.79,1384760.13,1250988.18,1357780.67,2930148.91,3109941.88,Retail,-917908.6100000001,133771.94999999995
9,Global Motors,Operations in technology,1504380.64,1408177.94,584665.79,1983120.53,771507.71,1174231.098,4653971.31,Technology,96202.69999999995,-1398454.74
10,Dynamic Motors,Operations in manufacturing,3675417.18,1182651.08,5052699.226,3197842.52,357777.31,2851341.0,711866.96,Manufacturing,2492766.1,1854856.7059999998
11,Alpha Group,Operations in technology,2660872.76,2986494.84,9644950.99,333264.88,592918.3,2939384.58,1027771.68,Finance,-325622.0800000001,9311686.11
12,Global Motors,Operations in manufacturing,3695340.39,2356168.01,6797713.64,2598246.24,1687586.97,2281033.99,2305502.93,Healthcare,1339172.3800000004,4199467.399999999
13,Innovative International,Operations in technology,4231117.17,816462.06,5364928.41,3853410.8,1182469.19,868689.39,3185943.7,Finance,3414655.11,1511517.6100000003
14,Innovative Corp,Operations in technology,1651369.16,268153.44,6989001.76,1892137.83,1748487.34,187606.8,3203128.23,Manufacturing,1383215.72,5096863.93
15,Pinnacle Motors,Operations in technology,524622.16,1853279.166,1081999.87,165019.27,665194.59,1976059.49,1863666.9,Finance,-1328657.006,916980.6000000001
16,Dynamic Motors,Operations in finance,2523227.882,1703710.09,1687622.17,2212093.61,407827.786,2862807.35,2694135.92,Finance,819517.7920000001,-524471.44
17,Dynamic Motors,Operations in technology,4807714.96,1559102.7060000002,833830.4,1827864.86,23469.8,1014141.634,2913382.4,Retail,3248612.2539999997,-994034.4600000001
18,Zenith Corp,Operations in manufacturing,2823702.57,1190227.64,1561989.66,4416169.69,1035998.39,1698791.64,4239339.12,Healthcare,1633474.93,-2854180.0300000003
19,Future Solutions,Operations in retail,566852.48,1041150.73,7340573.27,2682008.74,990345.17,1349490.9579999999,2584295.1,Finance,-474298.25,4658564.529999999
20,Alpha Systems,Operations in technology,898894.32,1294800.27,4323060.12,3360984.77,801242.38,2661257.59,1907366.96,Technology,-395905.95000000007,962075.3500000001
21,Dynamic Motors,Operations in retail,1834176.166,1302512.21,6309536.09,1617228.1,660487.5,2676910.35,2390984.15,Technology,531663.956,4692307.99
22,Future Solutions,Operations in finance,3760847.26,1217832.97,6421732.83,4565156.2,640565.2,911524.692,434325.97,Finance,2543014.29,1856576.63
23,Green Logistics,Operations in retail,2533082.29,846802.41,7664386.52,2201370.98,363623.24,552912.3,4538828.18,Retail,1686279.88,5463015.539999999
24,Tech International,Operations in technology,2446685.58,1850570.97,1851961.51,1982556.15,90649.85,2832185.26,2486178.492,Technology,596114.6100000001,-130594.6399999999
25,Alpha Group,Operations in technology,4831497.95,1061330.27,5941180.34,1793600.86,254161.41,387023.25,1779758.81,Finance,3770167.68,4147579.4799999995
26,Alpha Holdings,Operations in technology,1135080.69,32051.28,5724635.11,2748767.628,1071960.87,270370.96,1259191.82,Healthcare,1103029.41,2975867.4820000003
27,Global Technologies,Operations in finance,4763729.04,1948726.852,3389487.8840000005,3647498.24,1797056.71,351819.12,3613566.29,Healthcare,2815002.188,-258010.35599999968
28,Zenith Motors,Operations in healthcare,665258.95,1126324.04,5737244.98,3955923.09,713823.42,1933574.8080000002,2159951.63,Technology,-461065.0900000001,1781321.8900000006
29,Alpha International,Operations in technology,2463688.35,1168167.47,9498983.73,247447.32,1094425.65,2026947.17,1934725.84,Manufacturing,1295520.8800000001,9251536.41
30,Dynamic Motors,Operations in manufacturing,4595212.12,2734119.34,3246897.602,4823105.65,585633.85,973797.5,4170210.13,Finance,1861092.7800000003,-1576208.0480000004
31,Future Corp,Operations in technology,4794050.27,521391.46,4045831.19,4289781.74,1073447.47,2701517.13,1832948.04,Healthcare,4272658.81,-243950.55000000028
32,Dynamic Motors,Operations in healthcare,2720999.18,2491270.07,2144980.28,4558176.61,833900.18,2610394.77,665610.03,Technology,229729.11000000034,-2413196.3300000005
33,Zenith Systems,Operations in finance,1931567.8199999998,2734617.87,940251.25,2074869.246,938431.43,124636.62,4255986.63,Healthcare,-803050.0500000003,-1134617.996
34,Zenith Group,Operations in finance,2440332.8720000004,2060227.15,7870880.33,4720672.78,1378809.03,1372791.254,3465999.97,Manufacturing,380105.72200000053,3150207.55
35,Zenith Technologies,Operations in retail,4322349.18,1229566.91,1433479.64,1953024.94,1702524.94,1926891.95,2009456.4,Healthcare,3092782.2699999996,-519545.30000000005
36,Tech Enterprises,Operations in manufacturing,1511998.25,1757475.19,1476743.56,3631490.74,838778.36,551215.45,1858486.26,Manufacturing,-245476.93999999994,-2154747.18
37,Dynamic Motors,Operations in healthcare,1064788.9,1114981.02,8949699.16,611332.11,713288.87,1112090.55,4434177.29,Healthcare,-50192.12000000011,8338367.05
38,Future Enterprises,Operations in technology,4077372.45,1613362.62,8878858.33,2992641.39,564428.22,1907399.12,554833.98,Finance,2464009.83,5886216.9399999995
39,Tech Systems,Operations in technology,4057680.23,2488507.75,4740769.29,4495804.43,707771.06,1695354.93,576394.54,Finance,1569172.48,244964.86000000034
40,Alpha Enterprises,Operations in technology,4917566.44,333079.68,1055039.16,3863562.37,541850.69,1368864.54,972578.82,Healthcare,4584486.760000001,-2808523.21
41,Green Motors,Operations in technology,3613838.13,1016206.0959999999,8208134.1,1689101.07,1790602.11,1442362.33,2388153.44,Finance,2597632.034,6519033.029999999
42,Green Logistics,Operations in technology,3474869.78,143182.6,4865898.13,4896053.56,1444535.45,789515.29,4001752.68,Finance,3331687.1799999997,-30155.429999999702
43,Green Enterprises,Operations in healthcare,4826692.28,825087.19,5345990.194,2904111.49,1222936.92,382793.29,1745449.8,Technology,4001605.0900000003,2441878.704
44,Innovative Corp,Operations in healthcare,3817887.64,1698126.514,8613910.75,4425734.31,902217.04,2944145.14,66946.71,Retail,2119761.126,4188176.4400000004
45,Innovative Group,Operations in healthcare,1882246.69,2756497.39,4182079.41,4454658.07,450428.2,1334520.5359999998,1648014.86,Healthcare,-874250.7000000002,-272578.66000000015
46,Future Enterprises,Operations in retail,4909993.71,438263.56,6286960.757999999,1190138.84,1692849.07,372821.37,1830164.18,Technology,4471730.15,5096821.918
47,Green Holdings,Operations in finance,287327.27,836553.18,2114167.44,2389699.3039999995,369703.52,1010887.29,3439381.74,Retail,-549225.91,-275531.8639999996
48,Quantum Corp,Operations in technology,2980682.93,2643181.54,1030193.57,511073.59,200096.71,1847596.5100000002,3194095.41,Healthcare,337501.39000000013,519119.9799999999
49,Green Technologies,Operations in finance,2599413.42,1141598.768,6069701.96,250353.32,748731.97,1800631.24,4978749.24,Retail,1457814.652,5819348.64
50,Tech Enterprises,Operations in finance,2312379.2700000005,1083203.432,6467080.75,2854570.35,1572474.03,1753289.0,144483.71,Manufacturing,1229175.8380000005,3612510.4
51,Zenith Systems,Operations in healthcare,3220300.57,2042338.1300000001,3446749.92,4721537.09,664233.59,2523622.48,3014844.88,Manufacturing,1177962.4399999997,-1274787.17
